LifeExpectancy,Status,GDP,Polio,Diphtheria,IncomeComposition
78.9,Developed,31386.63265,97,97,0.836
78.8,Developed,27169.99256,97,97,0.829
78.7,Developed,25324.48666,98,98,0.826
78.6,Developed,23932.49128,98,98,0.823
78.5,Developed,2293.4789,98,98,0.815
78.4,Developed,16372.29152,98,98,0.805
78.2,Developed,1562.92433,97,97,0.8
78.1,Developed,14672.8826,97,97,0.798
86,Developed,5314.64416,93,93,0.923
84,Developed,62425.5392,94,94,0.926
81,Developed,61191.19263,94,94,0.924
80,Developed,5857.521,94,94,0.922
79.7,Developed,61753.667,91,91,0.91
79.2,Developed,5841.41122,9,9,0.906
78.9,Developed,58163.29359,89,89,0.906
78.8,Developed,64322.6664,88,88,0.906
78.4,Developed,58487.451,87,87,0.904
78.1,Developed,5226.99311,93,93,0.902
78.1,Developed,48799.8237,93,93,0.897
77.7,Developed,46511.6457,95,95,0.893
77.3,Developed,4458.7764,96,96,0.882
77,Developed,33228.69291,98,98,0.875
77,Developed,3751.64946,97,97,0.862
76.9,Developed,3743.55917,97,97,0.86
63.5,Developing,1862.167274,84,84,0.47
63,Developing,174.91511,78,78,0.467
62.7,Developing,1622.637974,82,82,0.464
62.2,Developing,1536.15685,81,81,0.46
61.8,Developing,143.986898,87,87,0.451
61.3,Developing,1325.99724,88,88,0.441
69,Developing,1253.657431,89,89,0.436
62,Developing,1214.77118,89,89,0.427
59.8,Developing,147.586896,88,88,0.416
59.1,Developing,965.6693779,72,72,0.405
58.6,Developing,94.7297489,71,71,0.396
58.1,Developing,864.184726,64,64,0.388
58,Developing,819.974118,68,68,0.378
57.9,Developing,792.15412,62,62,0.372
57.7,Developing,781.2322196,49,53,0.363
57.4,Developing,768.176767,46,46,0.361
73.9,Developing,6468.471648,87,85,0.718
73.6,Developing,6268.692122,9,91,0.712
73.4,Developing,627.55544,82,83,0.709
72.1,Developing,5968.876767,85,85,0.706
73.1,Developing,5759.643,84,84,0.703
72.7,Developing,5451.6696,85,88,0.697
73.6,Developing,4952.67753,85,82,0.695
73.3,Developing,511.37937,86,82,0.692
72.9,Developing,4647.31359,86,85,0.685
72.3,Developing,3836.468771,88,89,0.677
69.7,Developing,3681.5993,86,87,0.668
69.3,Developing,2421.9662,66,79,0.666
73,Developing,2372.628827,65,79,0.665
71.4,Developing,38.46578,74,82,0.66
71.2,Developing,2862.154836,71,72,0.656
72,Developing,282.4242,71,78,0.651
76.2,Developing,625.62224,84,78,0.739
76,Developing,6432.216537,84,83,0.737
76,Developing,674.9829,87,87,0.725
75.5,Developing,572.14313,85,87,0.717
75.3,Developing,5223.351763,85,88,0.71
75,Developing,4657.32361,88,91,0.703
75.1,Developing,4255.56571,91,94,0.702
74.6,Developing,4274.95265,94,96,0.698
74.7,Developing,359.71886,95,96,0.696
74.4,Developing,335.786541,92,96,0.693
74.2,Developing,321.942547,89,92,0.688
74.4,Developing,278.557892,9,88,0.682
74.4,Developing,244.46898,97,87,0.679
73.6,Developing,2183.966796,88,88,0.675
73.4,Developing,193.741571,9,89,0.67
72.8,Developing,1451.29776,83,87,0.668
73.5,Developing,4127.11775,92,91,0.678
73.3,Developing,3988.771871,93,94,0.676
73,Developing,3895.664491,92,92,0.675
73,Developing,3827.786267,93,92,0.67
72,Developing,3736.58713,9,89,0.666
72,Developing,3474.392445,89,89,0.662
71.4,Developing,3366.482133,91,91,0.662
71.7,Developing,357.347674,98,98,0.659
71.2,Developing,334.83817,99,99,0.657
75,Developing,362.951768,96,96,0.651
71,Developing,2835.281237,89,89,0.644
70,Developing,2632.79942,9,9,0.636
69.9,Developing,2519.737387,93,94,0.628
73,Developing,248.4125,81,81,0.621
68.9,Developing,2338.772244,94,92,0.615
69,Developing,2238.4116,98,99,0.607
58.2,Developing,1347.31257,17,16,0.582
57.9,Developing,192.59733,24,2,0.582
57.4,Developing,2246.9938,3,3,0.586
56.7,Developing,21557.6528,3,24,0.583
56.2,Developing,21451.88617,39,41,0.58
56.1,Developing,17136.44568,59,44,0.589
55.7,Developing,1653.2937,57,43,0.59
55.4,Developing,22742.38159,55,42,0.592
55,Developing,15761.83913,54,41,0.587
54.8,Developing,12732.2759,52,4,0.569
54.4,Developing,185.63334,5,39,0.563
54.1,Developing,685.34897,48,38,0.553
53.8,Developing,3577.176197,46,37,0.554
53.5,Developing,2711.17114,44,36,0.542
53.1,Developing,2283.87939,43,35,0.527
52.7,Developing,172.68491,41,34,0
62.9,Developing,582.775532,96,96,0.405
62.1,Developing,482.14994,9,9,0.404
61.4,Developing,43.7544499,92,92,0.402
67,Developing,326.825642,94,94,0.406
62,Developing,317.3294336,91,91,0.405
59.7,Developing,297.828588,94,94,0.405
59.4,Developing,276.75896,96,96,0
59.1,Developing,287.4222243,98,98,0
58.8,Developing,232.7945459,95,93,0
58.5,Developing,21.7687981,92,9,0
58.1,Developing,215.139213,89,86,0
45.3,Developing,28.1969487,82,81,0
77.6,Developing,1774.9291,93,93,0.863
77.3,Developing,19941.45532,93,93,0.86
76.9,Developing,1929.7746,94,94,0.856
76.3,Developing,17421.8922,94,94,0.85
76.1,Developing,17454.84342,93,93,0.838
75.6,Developing,14638.6482,94,94,0.833
74.9,Developing,14726.31828,95,95,0.836
74.2,Developing,1894.5485,95,95,0.835
73,Developing,16586.452,95,95,0.829
73,Developing,12595.4165,95,95,0.822
72.8,Developing,1338.31322,96,96,0.812
72.3,Developing,885.465115,95,94,0.805
71.9,Developing,7174.237415,95,94,0.798
71.2,Developing,538.347781,94,94,0.791
78,Developing,4498.95727,94,94,0.781
78,Developing,47.32827,93,93,0.764
64.8,Developing,645.4637627,75,77,0.441
64.2,Developing,571.1622759,75,77,0.435
63.7,Developing,52.1535887,7,72,0.427
63.3,Developing,468.567249,7,69,0.422
62.6,Developing,354.8463544,7,65,0.411
61.8,Developing,341.39992,69,61,0.401
68,Developing,379.7566385,65,58,0.393
59.8,Developing,325.3825543,63,54,0.378
58.5,Developing,243.326822,61,5,0.362
57.2,Developing,193.794956,59,46,0.346
56,Developing,161.6266248,56,44,0.325
55,Developing,135.7623858,54,4,0.31
54,Developing,118.8734466,55,37,0.306
53.2,Developing,111.3634356,55,35,0.298
52.5,Developing,12.1789279,55,32,0.283
51.2,Developing,123.876257,55,3,0
69.9,Developing,4921.89629,99,99,0.734
69.7,Developing,546.3728,99,99,0.727
69.6,Developing,4763.68956,99,99,0.719
69.4,Developing,4546.73854,99,99,0.714
69.2,Developing,4353.121392,99,99,0.709
69.1,Developing,3651.966784,99,99,0.706
68.9,Developing,3369.48247,99,99,0.704
68.7,Developing,4177.657789,99,99,0.7
68.6,Developing,478.82327,99,99,0.698
68.5,Developing,3749.939813,98,98,0.695
68.3,Developing,3658.63832,97,96,0.699
68.1,Developing,3332.918533,96,95,0.691
68,Developing,2835.973972,95,94,0.689
67.9,Developing,2259.55796,94,93,0.687
67.8,Developing,238.891729,92,91,0.683
67.7,Developing,276.1338,91,9,0.681
81.1,Developing,4245.39744,97,97,0.893
89,Developing,49914.61864,98,98,0.89
87,Developing,49638.7713,98,98,0.887
84,Developing,47415.55987,99,99,0.884
83,Developing,579.72415,99,99,0.878
79.9,Developing,4622.41516,99,99,0.874
79.7,Developing,4717.15571,99,99,0.878
79.6,Developing,5341.31487,97,99,0.876
79.3,Developing,48288.5491,97,99,0.873
79.2,Developing,4112.67651,97,97,0.869
78.9,Developing,38969.17163,97,97,0.864
78.7,Developing,37636.11173,96,98,0.869
78.4,Developing,32816.1688,96,98,0.866
78.1,Developing,26834.2625,95,98,0.863
78,Developing,24913.24452,95,98,0.856
77.5,Developing,24253.2542,96,99,0.847
82.4,Developing,36526.7711,98,98,0.894
82.2,Developing,42955.24287,98,98,0.89
82,Developing,42554.1225,99,99,0.887
81.5,Developing,4838.2444,99,99,0.885
81.7,Developing,4381.288,99,99,0.882
81.3,Developing,473.34279,99,99,0.879
81.1,Developing,41631.13141,98,98,0.879
89,Developing,45413.6571,98,98,0.877
89,Developing,416.58397,99,98,0.873
86,Developing,36544.5853,99,99,0.87
81,Developing,34879.72633,98,98,0.86
82,Developing,33874.74255,99,98,0.857
79.3,Developing,29691.18158,96,97,0.852
79.2,Developing,24275.2426,97,97,0.851
79,Developing,22527.31775,98,97,0.849
78.8,Developing,22465.64184,98,97,0.844
66,Developing,7388.984144,79,8,0.694
65.5,Developing,9692.163874,68,7,0.687
64.6,Developing,9679.742995,77,79,0.678
63.5,Developing,9774.18117,8,82,0.669
62.8,Developing,1716.2258,75,75,0.664
62.3,Developing,8754.113376,68,67,0.66
61.7,Developing,763.66223,74,76,0.652
61.6,Developing,194.2746,81,82,0.651
61.6,Developing,8352.81711,78,81,0.645
61.4,Developing,727.777345,44,45,0.646
65,Developing,6741.2939479999995,44,45,0.64
59.7,Developing,5685.577736,44,45,0.64
59.7,Developing,4892.11618,44,45,0.638
59.7,Developing,412.55271,44,45,0.636
59.8,Developing,3976.14887,44,45,0.633
61,Developing,4116.46693,44,45,0.637
74.4,Developing,3764.64912,91,94,0.768
74.5,Developing,4429.6575,91,91,0.759
74.5,Developing,4274.376857,94,93,0.755
74.2,Developing,4142.869175,93,92,0.749
73.9,Developing,3725.63221,88,94,0.742
73.8,Developing,2964.47734,88,92,0.738
73.2,Developing,276.588512,93,88,0.734
73.9,Developing,3174.9491,9,92,0.735
74.4,Developing,2492.12878,88,98,0.722
73.9,Developing,1872.68416,89,88,0.714
73.9,Developing,153.57521,82,82,0.703
72.3,Developing,127.367228,66,78,0.694
72.7,Developing,928.18227,74,75,0.684
71.7,Developing,779.3845935,89,84,0.677
73,Developing,733.974142,83,87,0.673
71.8,Developing,691.997711,81,8,0
81,Developed,41176.88158,94,95,0.924
89,Developed,4792.65288,94,95,0.92
86,Developed,4653.91143,94,95,0.919
86,Developed,4465.24891,94,95,0.916
85,Developed,4681.32796,94,95,0.912
81,Developed,41785.55691,94,95,0.907
80,Developed,41732.7725,95,96,0.906
79.9,Developed,45699.19832,95,96,0.903
79.8,Developed,41814.8191,95,96,0.898
79.6,Developed,36447.87232,94,96,0.892
79.2,Developed,34696.6292,95,96,0.884
79.1,Developed,34165.9343,96,96,0.877
78.5,Developed,3359.95215,96,97,0.872
78.4,Developed,2525.16445,97,93,0.867
78.3,Developed,23687.31689,96,93,0.86
78,Developed,23718.7467,94,9,0.855
62.4,Developing,1361.11395,88,88,0.575
62.1,Developing,1432.227943,93,98,0.576
61.9,Developing,1814.492297,91,9,0.57
61.6,Developing,1629.8222,91,92,0.563
61.2,Developing,1574.978653,91,91,0.554
69,Developing,1312.67557,94,94,0.547
66,Developing,186.76538,94,94,0.542
63,Developing,1224.41554,92,93,0.53
59.9,Developing,19.686718,94,94,0.519
59.4,Developing,922.9351677,84,84,0.51
58.9,Developing,498.172394,85,84,0.499
58.3,Developing,423.1936389,81,8,0.491
57.9,Developing,373.2815537,8,8,0.489
57.6,Developing,39.484473,8,78,0.484
57.4,Developing,273.6596668,81,79,0.485
57.2,Developing,263.1124679,88,88,0.48
81,Developing,187.78991,99,99,0.865
88,Developing,21673.7817,99,99,0.862
86,Developing,21874.8195,99,99,0.86
84,Developing,22242.68193,99,99,0.858
85,Developing,25916.29353,99,99,0.86
83,Developing,26917.75898,99,99,0.859
80,Developing,2971.973,99,99,0.857
79.9,Developing,31997.2821,99,99,0.853
79.4,Developing,28827.32636,99,99,0.855
79.7,Developing,2481.15781,98,98,0.85
79.3,Developing,22551.73574,96,96,0.839
79.2,Developing,21955.149,95,95,0.83
79.1,Developing,18477.57841,93,94,0.823
79,Developing,1411.31339,92,92,0.811
78.7,Developing,12538.17883,9,91,0.801
78.2,Developing,1242.95373,89,89,0.794
73.6,Developing,9212.192824,99,92,0.751
73.5,Developing,8569.776998,81,97,0.749
73.3,Developing,7955.615985,98,97,0.746
73.1,Developing,7583.1872,98,97,0.744
72.9,Developing,741.48438,95,95,0.741
72.6,Developing,7365.666659,94,97,0
72.4,Developing,7395.88125,99,99,0
72.1,Developing,7946.944346,99,99,0
71.9,Developing,7322.596862,96,96,0
71.7,Developing,6764.722867,91,91,0
71.5,Developing,6754.512393,99,99,0
73,Developing,5836.17763,84,83,0
71.1,Developing,5773.73577,98,97,0
79,Developing,5292.232379,98,98,0
77,Developing,519.958715,96,96,0
74,Developing,5117.5899230000005,97,97,0
71.9,Developing,3923.573344,9,74,0.637
71.7,Developing,3687.763767,65,73,0.614
71.4,Developing,3452.828934,84,85,0.611
71.3,Developing,3299.65139,94,96,0.616
71.1,Developing,3187.845296,88,88,0.609
77,Developing,2825.5247,94,94,0.602
76,Developing,2635.753474,92,92,0.596
79,Developing,2794.22189,96,95,0.589
75,Developing,2489.955836,85,85,0.578
69.7,Developing,2256.56724,9,89,0.57
69.2,Developing,277.83438,87,87,0.567
69.6,Developing,1872.73783,88,87,0.564
69.4,Developing,1753.349471,84,84,0.56
69.3,Developing,171.771491,82,82,0.553
68.4,Developing,1568.376276,78,77,0.546
67.7,Developing,1655.596261,8,81,0.539
59,Developing,554.48766,42,54,0.414
58.1,Developing,561.997387,42,51,0.412
58.8,Developing,54.169324,63,63,0.406
58.4,Developing,52.3485646,63,62,0.396
58.1,Developing,459.2912,63,63,0.385
57.8,Developing,438.7513346,62,64,0.38
57.3,Developing,436.6895539,6,57,0.376
56.8,Developing,437.4467238,59,6,0.371
56.4,Developing,49.456775,46,63,0.364
55.6,Developing,296.68382,53,57,0.356
54.7,Developing,33.424498,59,59,0.346
54,Developing,386.3288283,65,6,0.325
53.3,Developing,37.1931781,61,57,0.338
52.9,Developing,322.811171,56,53,0.329
52.5,Developing,315.83983,52,5,0.322
52.5,Developing,34.516918,47,46,0.316
58.9,Developing,596.8717189,87,87,0.421
58.4,Developing,642.6256154,87,87,0.419
58.1,Developing,61.566347,87,87,0.415
57.6,Developing,67.7518833,87,87,0.416
57.1,Developing,692.69989,85,86,0.41
56.7,Developing,543.957418,82,83,0.405
56.3,Developing,544.222779,78,8,0.401
55.6,Developing,583.5445622,77,77,0.398
55,Developing,481.694976,76,74,0.394
54.4,Developing,418.94454,74,71,0.388
53.9,Developing,424.9534585,73,68,0
53.5,Developing,393.3138244,69,64,0
53,Developing,36.5718585,65,6,0
52.8,Developing,321.481324,61,57,0
52.5,Developing,39.486749,56,53,0
52.1,Developing,297.7519443,52,49,0
66.2,Developing,4136.689919,92,95,0.638
66,Developing,43.82321,97,98,0.636
65.9,Developing,3944.178173,98,98,0.633
65.8,Developing,3785.935665,97,97,0.63
65.6,Developing,3439.597513,93,93,0.624
65.9,Developing,326.281212,95,95,0.618
66.1,Developing,2716.35256,97,98,0.618
66.3,Developing,2576.124957,93,93,0.618
65.7,Developing,2327.58324,94,94,0.62
65.2,Developing,1945.6395,92,93,0.622
65,Developing,198.455216,93,93,0.619
65.1,Developing,145.58861,91,91,0.613
65.3,Developing,986.7958173,91,9,0.611
65.3,Developing,96.8674827,93,91,0.609
65.4,Developing,925.582546,9,85,0.606
65.4,Developing,946.599372,79,88,0.602
63.5,Developing,814.5463952,56,6,0.49
63.1,Developing,83.1148117,55,48,0.487
62.7,Developing,81.265673,67,68,0.483
62.3,Developing,766.8437623,67,67,0.477
62.3,Developing,74.9358452,67,68,0.47
36.3,Developing,662.2795182,66,66,0.47
62.5,Developing,668.297646,65,65,0.466
62.1,Developing,674.7564147,64,63,0.462
61.8,Developing,615.8198192,62,63,0.458
61.1,Developing,55.47626,61,6,0.455
65,Developing,465.311876,6,6,0.452
58.7,Developing,387.9429725,58,55,0.45
59.7,Developing,329.782946,56,53,0.447
59.3,Developing,393.16327,54,48,0.444
58.9,Developing,413.7383164,52,45,0.443
58.6,Developing,462.486524,5,41,0.439
74.6,Developing,2326.15856,97,97,0.623
74.5,Developing,2242.711912,97,97,0.618
74.3,Developing,2136.77395,97,97,0.614
74.1,Developing,2178.38325,97,97,0.614
73.9,Developing,212.584798,97,97,0.611
73.6,Developing,1932.85829,97,97,0.606
73.4,Developing,1815.489496,97,97,0.603
73.2,Developing,1751.595857,93,93,0.597
73,Developing,1592.572182,94,94,0.59
72.8,Developing,1437.628785,94,95,0.583
72.5,Developing,1311.741714,98,98,0.577
72.2,Developing,1217.657961,94,94,0.571
71.9,Developing,1157.3427,92,92,0.566
71.6,Developing,1132.8721,95,95,0.561
71.3,Developing,113.4546,99,96,0.557
71,Developing,188.783165,88,94,0.551
75.8,Developed,12365.6263,99,99,0.834
75.6,Developed,14117.97668,99,99,0.834
75.5,Developed,13613.6147,99,99,0.824
75,Developed,12834.32349,99,99,0.823
74.8,Developed,1448.87958,99,99,0.821
74.5,Developed,1325.53379,99,99,0.817
74.2,Developed,12967.16543,99,99,0.816
74.1,Developed,15669.25929,99,99,0.812
73.5,Developed,13842.6549,99,99,0.809
73.4,Developed,11398.76584,99,99,0.802
72.9,Developed,11161.72441,99,99,0.795
72.9,Developed,1259.5266,99,99,0.793
72.5,Developed,8396.25323,99,99,0.784
72.5,Developed,665.6443,98,99,0.775
72.3,Developed,527.85364,99,99,0.769
71.7,Developed,4623.46712,99,99,0.761
82.7,Developed,5734.4436,92,92,0.919
82.5,Developed,52473.11356,9,9,0.915
82.4,Developed,4781.3888,91,91,0.907
82.5,Developed,44333.8518,89,89,0.901
82.1,Developed,46.217,95,95,0.894
81.8,Developed,41676.44527,96,96,0.894
81.6,Developed,4461.89251,96,96,0.894
81.4,Developed,55575.29196,98,98,0.892
81.3,Developed,68348.31817,97,97,0.887
81.1,Developed,5613.54115,97,97,0.884
81,Developed,56249.7555,95,95,0.879
88,Developed,46917.27216,99,99,0.873
87,Developed,3944.999,97,97,0.866
84,Developed,31996.2172,95,95,0.859
80,Developed,28585.9254,92,92,0.854
79.7,Developed,31813.37344,98,98,0.847
68.3,Developing,1613.18878,86,87,0.615
68,Developing,1573.11889,84,85,0.607
67.6,Developing,1452.195373,82,83,0.599
67.3,Developing,1446.98541,79,82,0.59
66.8,Developing,1461.671957,79,82,0.58
66.4,Developing,1345.77153,76,79,0.569
66,Developing,19.317765,73,74,0.563
65.5,Developing,991.484634,69,7,0.556
65.2,Developing,118.166373,67,64,0.546
64.8,Developing,792.259698,66,65,0.536
64.4,Developing,77.819,65,65,0.526
64,Developing,621.3183767,58,63,0.518
63.7,Developing,541.1352279,57,61,0.505
63.3,Developing,466.2842,58,59,0.499
62.9,Developing,447.138966,58,59,0.494
62.5,Developing,438.864634,57,58,0.489
69.1,Developing,3336.16686,8,78,0.686
68.9,Developing,3491.595887,8,78,0.682
68.7,Developing,362.663981,86,85,0.677
68.5,Developing,3687.953996,84,83,0.669
68.3,Developing,3634.27685,81,81,0.662
68.1,Developing,3113.48635,82,81,0.656
67.9,Developing,2254.44566,85,78,0.645
67.7,Developing,216.52766,83,77,0.641
67.5,Developing,1855.93915,77,73,0.638
67.3,Developing,1586.254,78,72,0.632
67.2,Developing,126.928834,79,72,0.629
65.3,Developing,1148.56996,79,71,0.624
66.9,Developing,164.59447,8,71,0.613
66.7,Developing,899.5556857,8,7,0.608
66.5,Developing,747.9817455,77,76,0.604
66.3,Developing,78.92744,72,75,0.597
68.9,Developing,4974.2693,63,58,0.649
67.9,Developing,673.74737,67,64,0.658
69.5,Developing,6925.22446,7,68,0.659
76,Developing,6651.12242,7,69,0.656
77,Developing,5854.614497,8,79,0.649
76,Developing,452.74948,74,74,0.646
74,Developing,3735.144836,78,78,0.643
69.3,Developing,4521.3247,71,69,0.638
65.9,Developing,3129.224922,74,57,0.636
64.7,Developing,2351.812429,63,59,0.631
66.8,Developing,1849.63911,69,65,0.628
67.2,Developing,1391.816923,69,74,0.603
81.4,Developed,6664.144,95,95,0.92
81.2,Developed,5553.32623,96,96,0.91
81,Developed,5234.76736,96,96,0.902
85,Developed,49231.36254,95,95,0.895
84,Developed,52567.52568,95,95,0.909
86,Developed,48538.58776,94,94,0.907
79.7,Developed,51983.78892,94,94,0.909
79.8,Developed,61235.415,93,93,0.908
79.5,Developed,61388.17457,92,92,0.902
79,Developed,54326.9713,91,91,0.896
78.7,Developed,5886.82789,9,9,0.889
78.3,Developed,47631.6377,89,89,0.88
78,Developed,4117.15532,86,86,0.87
77.4,Developed,32539.1937,83,83,0.862
77,Developed,28223.55528,84,84,0.857
76.4,Developed,26241.91883,86,86,0.848
82.5,Developing,35729.37253,95,95,0.898
82.2,Developing,37582.84624,95,95,0.895
82.1,Developing,36393.66932,96,96,0.891
81.8,Developing,32569.59683,94,94,0.889
81.8,Developing,33657.15727,94,94,0.883
81.7,Developing,3661.994,95,95,0.878
81.5,Developing,27795.87671,96,96,0.876
81,Developing,29657.4421,94,94,0.877
84,Developing,258.637,95,95,0.872
84,Developing,2195.1769,94,95,0.87
80,Developing,2611.17931,95,93,0.866
81,Developing,19888.172,95,95,0.863
79.7,Developing,18946.99942,93,93,0.863
79.3,Developing,18431.15696,91,9,0.855
79.3,Developing,236.19646,93,92,0.85
78.9,Developing,2152.1432,93,93,0.845
82.7,Developed,349.14755,93,93,0.881
82.5,Developed,35396.66517,95,95,0.877
82.3,Developed,3537.27441,96,96,0.876
82,Developed,34814.12436,96,97,0.877
82,Developed,38334.68477,96,96,0.872
81.8,Developed,35849.37364,96,96,0.869
81.6,Developed,36976.84512,96,96,0.868
81.5,Developed,464.18465,96,96,0.866
81.3,Developed,37698.78573,97,97,0.862
81.2,Developed,3341.7482,97,96,0.856
88,Developed,31959.26215,97,95,0.851
89,Developed,31174.56118,97,94,0.846
79.9,Developed,27387.2258,97,96,0.841
80,Developed,22196.5736,96,93,0.836
79.8,Developed,24.819,96,93,0.828
79.4,Developed,251.2426,97,87,0.823
76.2,Developing,4965.989857,91,91,0.729
75.8,Developing,4855.743789,93,92,0.727
75.6,Developing,56.144952,86,93,0.727
75.3,Developing,521.33363,96,96,0.725
75.2,Developing,513.549487,93,92,0.722
75,Developing,4682.728424,94,94,0.721
74.7,Developing,4293.383274,9,9,0.721
74.5,Developing,492.492378,91,91,0.718
74.2,Developing,462.517913,94,92,0.714
74,Developing,4313.1682,99,95,0.709
73.5,Developing,482.24762,99,99,0.706
73.3,Developing,3719.97351,97,98,0.689
73.1,Developing,3465.221998,99,96,0.694
73,Developing,3596.496282,99,99,0.69
72.7,Developing,3394.878,99,99,0.68
72.6,Developing,336.8742,95,93,0.682
83.7,Developed,34474.13736,99,96,0.902
83.5,Developed,3896.21151,99,96,0.899
83.5,Developed,4454.44746,99,96,0.894
83.3,Developed,4863.47665,99,97,0.889
82.5,Developed,48167.99727,96,97,0.884
83,Developed,4457.67639,98,97,0.879
83,Developed,4855.17564,99,97,0.881
82.7,Developed,39339.29757,98,98,0.88
82.6,Developed,35275.22843,97,98,0.877
82.4,Developed,35433.98896,95,98,0.873
82,Developed,37217.64873,95,98,0.87
82.1,Developed,37688.72234,97,99,0.866
81.9,Developed,3488.3992,97,97,0.863
81.8,Developed,32289.3554,89,96,0.86
81.5,Developed,33846.46564,81,95,0.856
81.1,Developed,38532.488,98,85,0.852
74.1,Developing,496.99275,99,99,0.741
74,Developing,466.94775,98,98,0.737
73.9,Developing,3992.86717,98,98,0.737
73.7,Developing,387.753211,98,98,0.735
73.6,Developing,387.324145,98,98,0.737
73.4,Developing,3679.19275,98,98,0.739
73.3,Developing,3492.1396,98,98,0.742
73.1,Developing,3385.69665,98,97,0.739
73,Developing,2762.86354,98,98,0.736
72.8,Developing,2537.349,98,98,0.733
72.4,Developing,223.83787,95,95,0.73
72.5,Developing,261.456882,95,95,0.723
72.3,Developing,1889.213962,97,97,0.717
72.1,Developing,1812.288374,95,95,0.712
71.9,Developing,1728.2659,97,99,0.706
71.7,Developing,1657.889256,94,91,0.7
72,Developing,159.9817,98,98,0.793
69.9,Developing,1286.56511,95,95,0.789
69.5,Developing,1389.8561,98,98,0.782
69.1,Developing,12387.18982,98,99,0.774
68.5,Developing,11634.42422,99,99,0.766
67.8,Developing,97.649972,98,99,0.763
67.8,Developing,7165.2775,99,98,0.758
66.6,Developing,8513.564645,99,99,0.758
65.3,Developing,6771.414797,94,93,0.754
65,Developing,5291.57565,99,99,0.747
64.6,Developing,3771.278957,99,98,0.737
64.7,Developing,2874.288291,99,82,0.725
64.4,Developing,268.123657,99,99,0.714
64.7,Developing,1658.31146,95,95,0.7
64.4,Developing,149.926751,95,95,0.685
63.9,Developing,1229.958,96,97,0.676
63.4,Developing,1349.97144,83,89,0.55
62.9,Developing,1335.6458,93,92,0.546
62.6,Developing,1229.114798,94,87,0.541
62.1,Developing,1155.2582,94,94,0.536
61.2,Developing,987.4453967,97,96,0.53
63,Developing,967.34773,9,9,0.523
59.1,Developing,92.816252,89,88,0.514
57.9,Developing,916.8992515,88,88,0.506
56.8,Developing,839.181117,76,81,0.494
55.3,Developing,697.66385,77,8,0.483
54.1,Developing,519.7999346,7,76,0.474
53,Developing,458.8843551,73,73,0.461
52.4,Developing,436.6875357,75,73,0.45
52.1,Developing,395.8493511,83,84,0.451
51.9,Developing,41.7763612,77,8,0.447
51.9,Developing,43.9797132,8,82,0.448
66.3,Developing,1424.483611,8,78,0.586
66.1,Developing,1684.54274,79,75,0.597
65.8,Developing,1724.361737,91,95,0.589
65.7,Developing,1763.815497,92,94,0.581
65.5,Developing,1692.613277,95,99,0.585
65.3,Developing,1493.1651,95,91,0.584
65.2,Developing,1297.285141,84,86,0.576
65.1,Developing,1413.3234,74,82,0.572
65,Developing,1357.632211,93,94,0.574
65,Developing,1151.555618,86,86,0.576
64.9,Developing,1214.556667,74,79,0
64.8,Developing,113.6286,61,62,0
64.7,Developing,115.3865,79,7,0
64.6,Developing,826.58554,96,77,0
64.3,Developing,734.9492461,88,85,0
64.1,Developing,796.7937634,9,9,0
74.7,Developing,28975.418,99,99,0.799
74.6,Developing,42996.4812,94,95,0.787
74.5,Developing,48399.9581,99,99,0.796
74.3,Developing,51264.7134,98,98,0.794
74.2,Developing,48268.5912,99,99,0.792
74,Developing,38497.61696,98,98,0.79
73.9,Developing,37567.3121,99,99,0.788
73.8,Developing,55571.9986,99,99,0.787
73.7,Developing,45793.97614,99,99,0.787
73.6,Developing,42717.55725,99,99,0.787
73.6,Developing,3549.26132,99,99,0.789
